sample_id,batch_500_usd,batch_1681_usd,batch_5000_usd
520,50.2283,15.0674,5.0223
521,37.1240,11.1364,3.7120
522,58.1247,17.4361,5.8118
523,8.5494,2.5646,0.8549
524,37.1573,11.1464,3.7153
525,38.6059,11.5809,3.8602
526,11.8881,3.5662,1.1887
527,24.3917,7.3170,2.4389
528,8.0047,2.4012,0.8004
529,6.2742,1.8821,0.6274
530,37.3731,11.2111,3.7369
531,73.6773,22.1016,7.3669
532,72.2520,21.6740,7.2244
533,28.8777,8.6627,2.8875
534,54.9326,16.4786,5.4927
535,70.6346,21.1888,7.0627
536,18.4911,5.5469,1.8489
537,21.3811,6.4139,2.1379
538,52.5001,15.7489,5.2494
539,17.3372,5.2008,1.7335
540,15.2335,4.5697,1.5232
541,22.0434,6.6125,2.2041
542,31.4515,9.4347,3.1448
543,52.4267,15.7269,5.2421
544,12.3953,3.7183,1.2394
545,22.1476,6.6438,2.2145
546,27.0754,8.1220,2.7073
547,26.4184,7.9249,2.6416
548,50.2494,15.0737,5.0244
549,25.8992,7.7692,2.5896
550,27.4307,8.2286,2.7428
551,25.1254,7.5371,2.5123
552,13.2498,3.9747,1.3248
553,27.7055,8.3110,2.7703
554,10.9941,3.2980,1.0993
555,31.4912,9.4467,3.1488
556,14.9482,4.4841,1.4947
557,11.4567,3.4368,1.1455
558,13.6104,4.0828,1.3609
559,13.3524,4.0054,1.3351
560,46.2001,13.8590,4.6195
561,15.9304,4.7788,1.5929
562,26.0980,7.8288,2.6095
563,66.3119,19.8921,6.6305
564,12.6319,3.7893,1.2631
565,68.0088,20.4012,6.8001
566,41.3386,12.4007,4.1334
567,24.3138,7.2936,2.4311
568,23.8736,7.1615,2.3871
569,56.9904,17.0959,5.6984
570,7.6401,2.2919,0.7639
571,30.0703,9.0204,3.0067
572,25.3320,7.5990,2.5329
573,27.9046,8.3708,2.7902
574,12.5430,3.7626,1.2542
575,27.3493,8.2042,2.7346
576,10.0886,3.0264,1.0088
577,28.1104,8.4325,2.8107
578,17.7929,5.3375,1.7791
579,21.1149,6.3340,2.1113
580,22.2185,6.6651,2.2216
581,14.3822,4.3143,1.4381
582,17.6179,5.2850,1.7616
583,13.4380,4.0311,1.3437
584,37.0641,11.1184,3.7060
585,6.6515,1.9953,0.6651
586,21.2674,6.3797,2.1265
587,21.5117,6.4530,2.1509
588,19.2414,5.7720,1.9239
